name,hex,link
ऐज्योर वेब,#f0ffff,https://hi.wikipedia.org/wiki/%E0%A4%90%E0%A4%9C%E0%A5%8D%E0%A4%AF%E0%A5%8B%E0%A4%B0_(%E0%A4%B5%E0%A5%87%E0%A4%AC_%E0%A4%B0%E0%A4%82%E0%A4%97)
ऐमारैंथ,#e52b50,https://hi.wikipedia.org/wiki/%E0%A4%90%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%88%E0%A4%82%E0%A4%A5_(%E0%A4%B0%E0%A4%82%E0%A4%97)
ऐस्पैरागस,#7ba05b,https://hi.wikipedia.org/wiki/%E0%A4%90%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%88%E0%A4%B0%E0%A4%BE%E0%A4%97%E0%A4%B8_(%E0%A4%B0%E0%A4%82%E0%A4%97)
ऑफिस हरा,#008000,https://hi.wikipedia.org/wiki/%E0%A4%B9%E0%A4%B0%E0%A4%BE#%E0%A4%91%E0%A4%AB%E0%A4%BF%E0%A4%B8_%E0%A4%B9%E0%A4%B0%E0%A4%BE
ऑर्किड,#da70d6,https://hi.wikipedia.org/wiki/%E0%A4%91%E0%A4%B0%E0%A5%8D%E0%A4%95%E0%A4%BF%E0%A4%A1_(%E0%A4%B0%E0%A4%82%E0%A4%97)
ओलीवाइन,#9ab973,https://hi.wikipedia.org/wiki/%E0%A4%93%E0%A4%B2%E0%A5%80%E0%A4%B5%E0%A4%BE%E0%A4%87%E0%A4%A8
औबर्न,#6d351a,https://hi.wikipedia.org/wiki/%E0%A4%94%E0%A4%AC%E0%A4%B0%E0%A5%8D%E0%A4%A8_(%E0%A4%B0%E0%A4%82%E0%A4%97)
कद्दू,#ff7518,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%A6%E0%A5%8D%E0%A4%A6%E0%A5%82_(%E0%A4%B0%E0%A4%82%E0%A4%97)
कलहंस,#008080,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%B2%E0%A4%B9%E0%A4%82%E0%A4%B8_(%E0%A4%B0%E0%A4%82%E0%A4%97)
कहरुवा,#ffbf00,https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BE%E0%A4%B0%E0%A4%82%E0%A4%97%E0%A5%80_(%E0%A4%B0%E0%A4%82%E0%A4%97)#%E0%A4%95%E0%A4%B9%E0%A4%B0%E0%A5%81%E0%A4%B5%E0%A4%BE
कार्डिनल,#c41e3a,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%A1%E0%A4%BF%E0%A4%A8%E0%A4%B2_(%E0%A4%B0%E0%A4%82%E0%A4%97)
कार्माइन,#960018,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%BE%E0%A4%87%E0%A4%A8_(%E0%A4%B0%E0%A4%82%E0%A4%97)
काला,#000000,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A4%BE
काँस्य,#cd7f32,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%81%E0%A4%B8%E0%A5%8D%E0%A4%AF
किरमिज,#dc143c,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%AE%E0%A4%BF%E0%A4%9C
